ayacucho,caicara,ciudad_bolivar,palua
41.49,22.35,3.57,1.47
41.61,22.46,3.72,1.57
41.73,22.51,3.84,1.61
41.81,22.56,3.94,1.77
41.86,22.70,4.03,1.93
41.90,22.79,4.13,1.97
41.96,22.87,4.23,2.12
41.96,22.94,4.33,2.21
42.00,23.01,4.51,2.23
42.00,23.06,4.65,2.33
42.05,23.10,4.77,2.57
42.11,23.14,4.82,2.67
42.16,23.19,4.79,2.59
42.26,23.24,4.76,2.61
42.35,23.29,4.73,2.55
42.46,23.34,4.71,2.37
42.58,23.38,4.69,2.24
42.71,23.44,4.71,2.23
42.76,23.50,4.80,2.33
42.77,23.59,4.83,2.29
42.81,23.66,4.87,2.29
42.76,23.76,4.91,2.29
42.75,23.80,4.92,2.29
42.70,23.85,4.94,2.39
42.67,23.85,5.00,2.39
42.67,23.83,5.06,2.43
42.66,23.78,5.14,2.51
42.68,23.75,5.22,2.67
42.74,23.72,5.31,2.75
42.86,23.67,5.31,2.81
42.99,23.67,5.32,2.80
43.11,23.73,5.33,2.80
43.30,23.82,5.38,2.81
43.46,23.92,5.43,2.83
43.76,24.04,5.49,2.87
43.86,24.14,5.55,2.91
43.91,24.28,5.63,3.17
43.94,24.41,5.75,3.31
43.94,24.53,5.79,3.05
43.94,24.61,5.83,2.79
43.94,24.64,5.87,2.75
43.94,24.68,5.91,2.75
44.01,24.76,5.95,2.79
44.01,24.78,6.08,3.15
44.01,24.80,6.22,3.51
44.06,24.85,6.39,3.67
44.14,24.89,6.51,3.79
44.29,24.99,6.59,3.87
44.38,25.10,6.67,3.91
44.54,25.22,6.75,4.25
44.68,25.38,6.91,4.47
44.87,25.55,7.13,4.63
45.11,25.71,7.35,4.84
45.36,25.89,7.55,4.88
45.56,26.11,7.75,4.91
45.76,26.34,8.00,5.39
45.97,26.63,8.25,5.71
46.17,26.85,8.45,5.92
46.37,27.07,8.64,6.03
46.56,27.25,8.87,6.19
46.71,27.42,9.09,6.35
46.85,27.61,9.18,6.33
46.96,27.80,9.27,5.99
47.11,27.90,9.37,5.87
47.24,28.00,9.46,5.76
47.36,28.12,9.56,5.85
47.50,28.23,9.64,5.88
47.56,28.33,9.77,6.03
47.68,28.42,9.89,6.03
